"numGeoids","profile","category","variable","base","estimate","moe","cv","percent","percent_moe","is_reliable","comparison_estimate","comparison_moe","comparison_cv","comparison_percent","comparison_percent_moe","comparison_is_reliable","difference_estimate","difference_moe","difference_reliable","difference_percent","difference_percent_moe","difference_percent_reliable"
"","demographic","hispanic_subgroup","hsphnd","Hsp2","1884","586.666003787504","18.9297170150654","0.0262001446292485","0.00810070843396387","true","50108","3416","4.1","0.02","0.001","true","-48224","3466.011107887567","true","0.6200144629248499","0.816219805763701","false"
"","demographic","hispanic_subgroup","hspme","Hsp2","13584","1709.11702349488","7.64853440797004","0.188908049173944","0.022716064995169","true","339425","7811","1.4","0.138","0.003","true","-325841","7995.799021986483","true","5.090804917394397","2.291330637129313","false"
"","demographic","hispanic_subgroup","hspnic","Hsp2","389","212.473527762872","33.2039174194407","0.00540969015964844","0.00294800281813976","false","12560","1653","8","0.005","0.001","true","-12171","1666.5995319812134","true","0.040969015964844036","0.31129922286700246","false"
"","demographic","hispanic_subgroup","hspocam","Hsp2","83","123","90.0867909327279","0.00115425265617178","0.00170998523308356","false","1606","513","19.4","0.001","0","true","-1523","527.5395719754111","false","0.015425265617177997","0.17099852330835602","false"
"","demographic","hispanic_subgroup","hsposam","Hsp2","23","38","100.436104136382","0.000319853145686155","0.000528320358248631","false","2811","708","15.3","0.001","0","true","-2788","709.0190406470055","true","-0.0680146854313845","0.05283203582486311","false"
"","demographic","hispanic_subgroup","hspoth","Hsp2","2443","537.514650963116","13.3752200869954","0.0339739667352729","0.00736847294230198","true","108479","3640","2","0.044","0.001","true","-106036","3679.4730600997746","true","-1.0026033264727094","0.7436020004104104","false"
"","demographic","hispanic_subgroup","hsppan","Hsp2","494","272.029410174709","33.4751867608517","0.00686988930299828","0.00377446236339457","false","22824","1473","3.9","0.009","0.001","true","-22330","1497.9082081355987","true","-0.21301106970017192","0.3904685151543223","false"
"","demographic","hispanic_subgroup","hspperu","Hsp2","350","180.313615681124","31.3180400661961","0.00486733047783279","0.00250107802428943","false","40211","2081","3.1","0.016","0.001","true","-39861","2088.7972615838044","true","-1.1132669522167211","0.2693583353747108","true"
"","demographic","hispanic_subgroup","hsppr","Hsp2","24055","1796.37440418193","4.53968370150203","0.334524670412193","0.0216962021525451","true","696879","8571","0.7","0.284","0.003","true","-672824","8757.225702241549","true","5.052467041219302","2.1902629701570144","false"
"","demographic","hispanic_subgroup","hspprg","Hsp2","0","0","","0","0","false","3666","808","13.4","0.001","0","true","-3666","808","true","-0.1","0","true"
"","demographic","hispanic_subgroup","hspsalv","Hsp2","601","294.260089036893","29.7639788839161","0.0083579017633643","0.00408046153340015","false","46973","2844","3.7","0.019","0.001","true","-46372","2859.182575492513","true","-1.06420982366357","0.42012101025250215","false"
"","demographic","hispanic_subgroup","hspsam","Hsp2","10871","1393.40733455799","7.79188787076063","0.151179284641486","0.0185518983289157","true","392206","7423","1.2","0.16","0.003","true","-381335","7552.64940269307","true","-0.8820715358514004","1.8792895774904546","false"
"","demographic","hispanic_subgroup","hspspam","Hsp2","0","0","","0","0","false","601","224","22.7","0","0","false","-601","224","false","0","0",""
"","demographic","hispanic_subgroup","hspspnrd","Hsp2","396","192.937813815747","29.618036568688","0.0055070367692051","0.0026753644092536","false","24966","1807","4.4","0.01","0.001","true","-24570","1817.2710309692388","true","-0.4492963230794901","0.2856146831362293","false"
"","demographic","hispanic_subgroup","hspspnsh","Hsp2","85","55.9016994374947","39.9797600125119","0.00118206597318796","0.000776173343314048","false","9505","1192","7.6","0.004","0","true","-9420","1193.3101021947314","true","-0.281793402681204","0.0776173343314048","true"
