"numGeoids","profile","category","variable","base","estimate","moe","cv","percent","percent_moe","is_reliable","comparison_estimate","comparison_moe","comparison_cv","comparison_percent","comparison_percent_moe","comparison_is_reliable","difference_estimate","difference_moe","difference_reliable","difference_percent","difference_percent_moe","difference_percent_reliable"
"","social","disability_status_of_the_civilian_noninstitutionalized_population","c1864dild","CNI1864_1","2243","374.065502285362","10.1380045527758","0.0245654769075755","0.00405996114815161","true","152865","2956","1.2","0.028","0.001","true","-150622","2979.573962834284","true","-0.3434523092424504","0.4181301773909716","false"
"","social","disability_status_of_the_civilian_noninstitutionalized_population","c1864dscr","CNI1864_1","1147","290.745593259812","15.409332301249","0.0125620160557241","0.0031719055255775","true","83328","2435","1.8","0.015","0","true","-82181","2452.296474735467","true","-0.2437983944275901","0.31719055255774997","false"
"","social","disability_status_of_the_civilian_noninstitutionalized_population","c1864dvsn","CNI1864_1","2120","387.011627732294","11.0974258109851","0.0232183731805886","0.00420680060525104","true","96360","2606","1.6","0.018","0","true","-94240","2634.5804220027144","true","0.5218373180588602","0.42068006052510404","false"
"","social","disability_status_of_the_civilian_noninstitutionalized_population","c65pldamb","CvNI65pl","3886","423.624834021803","6.6269350348426","0.332591578226635","0.0312274982218727","true","307659","3733","0.7","0.266","0.003","true","-303773","3756.959808142749","true","6.659157822663495","3.1371271016601523","false"
"","social","disability_status_of_the_civilian_noninstitutionalized_population","c65pldcog","CvNI65pl","1437","271.154937259125","11.4708300710542","0.122988702499144","0.0221849289833352","true","120293","2983","1.5","0.104","0.003","true","-118856","2995.298649550659","true","1.898870249914399","2.2386850470658577","false"
"","social","disability_status_of_the_civilian_noninstitutionalized_population","c65pldhrg","CvNI65pl","1134","237.413142011979","12.7269928119511","0.0970558028072578","0.0195954085594859","true","114133","2557","1.4","0.099","0.002","true","-112999","2567.9980529587633","true","-0.19441971927422053","1.9697208853367354","false"
"","social","disability_status_of_the_civilian_noninstitutionalized_population","c65pldild","CvNI65pl","2674","364.178527648185","8.2791743900668","0.228859979459089","0.0284745626254548","true","217939","3170","0.9","0.189","0.003","true","-215265","3190.8503568798083","true","3.9859979459089026","2.8632162277951476","false"
"","social","disability_status_of_the_civilian_noninstitutionalized_population","c65pldscr","CvNI65pl","1493","286.567618547525","11.668133907476","0.12778158165012","0.0234829800322243","true","134140","2575","1.2","0.116","0.002","true","-132647","2590.8967559514986","true","1.1781581650119968","2.3567994212360226","false"
"","social","disability_status_of_the_civilian_noninstitutionalized_population","c65pldvsn","CvNI65pl","1033","216.462467878383","12.7384439854635","0.0884115029099623","0.0178674075515073","true","88066","2373","1.6","0.076","0.002","true","-87033","2382.8522824547895","true","1.2411502909962309","1.7978994760877485","false"
"","social","disability_status_of_the_civilian_noninstitutionalized_population","cni1864_1","CNI1864_1","91307","2037.15905122796","1.35629750185309","1","0","true","5460031","1359","0","1","0","true","-5368724","2448.8564678232983","true","0","0",""
"","social","disability_status_of_the_civilian_noninstitutionalized_population","cni18t64d","CNI1864_1","7229","642.635977828817","5.40406928887672","0.0791724621332428","0.00681291848347434","true","432783","4650","0.7","0.079","0.001","true","-425554","4694.196523367977","true","0.017246213324280113","0.6885917387136321","false"
